time,v_id,event,p_id
00:00:25,0,2,14
00:00:25,0,2,12
00:00:25,0,2,11
00:00:25,0,2,0
00:00:25,0,2,1
00:00:31,1,2,21
00:00:31,1,2,23
00:00:34,2,1,
00:00:36,4,3,29
00:02:34,6,1,
00:04:07,8,2,229
00:04:07,8,2,220
00:04:07,8,2,232
00:04:10,9,1,
00:04:12,10,1,
00:04:15,11,1,
00:04:17,12,1,
00:04:30,13,1,
00:06:05,15,1,
00:06:09,16,1,
00:06:12,17,1,
00:06:21,18,1,
00:06:54,19,2,308
00:06:54,19,2,309
00:06:56,20,2,308
00:06:56,20,2,309
00:06:59,21,1,
00:07:06,23,2,309
00:07:10,24,1,
00:07:14,26,1,
00:07:18,28,1,
00:09:02,29,1,
00:09:54,30,2,420
00:09:54,30,2,390
00:09:54,30,2,449
00:09:54,30,2,347
00:10:06,33,2,463
00:10:06,33,2,460
00:10:06,33,2,465
00:10:06,33,3,466
00:10:22,34,2,478
00:10:22,34,2,480
00:10:24,35,2,478
00:10:24,35,2,480
00:10:28,36,1,
00:10:30,37,1,
00:10:38,38,1,
00:10:46,39,1,
00:10:48,40,1,
00:10:52,41,1,
00:12:12,42,1,
00:12:17,43,1,
00:12:47,44,1,
00:13:26,45,2,652
00:13:26,45,2,643
00:13:31,48,1,
00:13:36,51,1,
00:13:40,53,1,
00:13:43,54,1,
00:13:47,55,1,
00:14:02,56,1,
00:14:08,57,1,
00:16:02,60,2,697
00:16:02,60,2,662
00:16:02,60,2,737
00:16:02,60,2,698
00:16:02,60,2,744
00:16:02,60,2,725
00:16:02,60,2,711
